t,cmd_left,cmd_right,Tu,Tr,u,v,r
289.1333333333333,0.1,0.7,46.623973020707595,11.860046223950441,1.1781149406190448,-0.5287576892082565,1.5464265424833243
289.1666666666667,0.1,0.7,46.623973020707595,11.860046223950441,1.171523700190895,-0.5658409101885485,1.5735842858940357
289.2,0.1,0.7,46.623973020707595,11.860046223950441,1.1637028762918145,-0.6002287420076823,1.5979935415131008
289.23333333333335,0.1,0.7,46.623973020707595,11.860046223950441,1.1548382317837782,-0.6319218894302476,1.6197157588495104
289.26666666666665,0.1,0.7,46.623973020707595,11.860046223950441,1.1451105677523776,-0.6609398932314309,1.638836530935239
289.3,0.1,0.7,46.623973020707595,11.860046223950441,1.134693832542598,-0.6873213675542715,1.65546359960108
289.3333333333333,0.1,0.7,46.623973020707595,11.860046223950441,1.1237534135135734,-0.7111235850132369,1.6697238674944639
289.3666666666667,0.1,0.7,46.623973020707595,11.860046223950441,1.1124446615574237,-0.7324214698474295,1.6817598615223524
289.4,0.1,0.7,46.623973020707595,11.860046223950441,1.1009116845525113,-0.7513060907415539,1.691725963760066
289.43333333333334,0.1,0.7,46.623973020707595,11.860046223950441,1.0892864309287906,-0.7678827620605846,1.6997846398726042
289.46666666666664,0.1,0.7,46.623973020707595,11.860046223950441,1.0776880698402285,-0.782268868332448,1.706102833564472
289.5,0.1,0.7,46.623973020707595,11.860046223950441,1.0662226611359413,-0.7945915244175927,1.7108486481467577
289.5333333333333,0.1,0.7,46.623973020707595,11.860046223950441,1.0549830971331542,-0.80498517514051,1.7141883975429768
289.56666666666666,0.1,0.7,46.623973020707595,11.860046223950441,1.0440492895426883,-0.8135892252019274,1.7162840763961416
289.6,0.1,0.7,46.623973020707595,11.860046223950441,1.0334885689209314,-0.8205457746912381,1.7172912713831971
289.6333333333333,0.1,0.7,46.623973020707595,11.860046223950441,1.023356260626666,-0.8259975189757934,1.717357513085548
289.6666666666667,0.1,0.7,46.623973020707595,11.860046223950441,1.013696400177011,-0.8300858553763631,1.7166210497118972
289.7,0.1,0.7,46.623973020707595,11.860046223950441,1.0045425517414315,-0.8329492237708136,1.715210010483873
289.73333333333335,0.1,0.7,46.623973020707595,11.860046223950441,0.9959186958490255,-0.8347216947356737,1.7132419172923028
289.76666666666665,0.1,0.7,46.623973020707595,11.860046223950441,0.9878401557696586,-0.8355318074079636,1.7108234978720729
289.8,0.1,0.7,46.623973020707595,11.860046223950441,0.9803145360533138,-0.8355016500725857,1.7080507516650272
289.8333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.9733426510198214,-0.8347461695213843,1.7050092201152116
289.8666666666667,0.1,0.7,46.623973020707595,11.860046223950441,0.9669194252972954,-0.8333726903279997,1.7017744157288497
289.9,0.1,0.7,46.623973020707595,11.860046223950441,0.9610347525982816,-0.8314806220948548,1.69841236822632
289.93333333333334,0.1,0.7,46.623973020707595,11.860046223950441,0.9556743026517632,-0.8291613311690019,1.6949802509751053
289.96666666666664,0.1,0.7,46.623973020707595,11.860046223950441,0.9508202694899398,-0.8264981529944037,1.6915270561669313
290.0,0.1,0.7,46.623973020707595,11.860046223950441,0.9464520570827467,-0.8235665218829741,1.6880942925280675
290.0333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.9425469006191121,-0.8204341962850659,1.6847166844595862
290.06666666666666,0.1,0.7,46.623973020707595,11.860046223950441,0.9390804235770462,-0.8171615593966381,1.6814228562083717
290.1,0.1,0.7,46.623973020707595,11.860046223950441,0.9360271321469114,-0.8138019769678985,1.6782359888558496
290.1333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.9333608496250546,-0.8104021963276157,1.6751744415242233
290.1666666666667,0.1,0.7,46.623973020707595,11.860046223950441,0.9310550941333392,-0.807002772794601,1.672252331229015
290.2,0.1,0.7,46.623973020707595,11.860046223950441,0.9290834034981316,-0.8036385117301567,1.6694800682741302
290.23333333333335,0.1,0.7,46.623973020707595,11.860046223950441,0.9274196113905986,-0.8003389164359315,1.6668648460356341
290.26666666666665,0.1,0.7,46.623973020707595,11.860046223950441,0.9260380789341088,-0.797128633885271,1.6644110854700285
290.3,0.1,0.7,46.623973020707595,11.860046223950441,0.9249138859634553,-0.7940278918742129,1.6621208357752715
290.3333333333333,0.1,0.7,46.623973020707595,11.860046223950441,0.9240229860077062,-0.7910529225848106,1.65999413339205
290.3666666666667,0.1,0.7,46.623973020707595,11.860046223950441,0.9233423288909917,-0.7882163687716766,1.658029322020175
290.4,0.1,0.7,46.623973020707595,11.860046223950441,0.9228499546253329,-0.7855276698220057,1.6562233365965326
290.43333333333334,0.1,0.7,46.623973020707595,11.860046223950441,0.9225250620238461,-0.7829934258133717,1.654571954286464
290.46666666666664,0.1,0.7,46.623973020707595,11.860046223950441,0.9223480552044234,-0.7806177384180002,1.653070015522463
