t,cmd_left,cmd_right
28.2333,-0.4500,-0.4500
28.2667,-0.4500,-0.4500
28.3000,-0.4500,-0.4500
28.3333,-0.4500,-0.4500
28.3667,-0.4500,-0.4500
28.4000,-0.4500,-0.4500
28.4333,-0.4500,-0.4500
28.4667,-0.4500,-0.4500
28.5000,-0.4500,-0.4500
28.5333,-0.4500,-0.4500
28.5667,-0.4500,-0.4500
28.6000,-0.4500,-0.4500
28.6333,-0.4500,-0.4500
28.6667,-0.4500,-0.4500
28.7000,-0.4500,-0.4500
28.7333,-0.4500,-0.4500
28.7667,-0.4500,-0.4500
28.8000,-0.4500,-0.4500
28.8333,-0.4500,-0.4500
28.8667,-0.4500,-0.4500
28.9000,-0.4500,-0.4500
28.9333,-0.4500,-0.4500
28.9667,-0.4500,-0.4500
29.0000,-0.4500,-0.4500
29.0333,-0.4500,-0.4500
29.0667,-0.4500,-0.4500
29.1000,-0.4500,-0.4500
29.1333,-0.4500,-0.4500
29.1667,-0.4500,-0.4500
29.2000,-0.4500,-0.4500
29.2333,-0.4500,-0.4500
29.2667,-0.4500,-0.4500
29.3000,-0.4500,-0.4500
29.3333,-0.4500,-0.4500
29.3667,-0.4500,-0.4500
29.4000,-0.4500,-0.4500
29.4333,-0.4500,-0.4500
29.4667,-0.4500,-0.4500
29.5000,-0.4500,-0.4500
29.5333,-0.4500,-0.4500
29.5667,-0.4500,-0.4500
29.6000,-0.4500,-0.4500
29.6333,-0.4500,-0.4500
29.6667,-0.4500,-0.4500
29.7000,-0.4500,-0.4500
29.7333,-0.4500,-0.4500
29.7667,-0.4500,-0.4500
29.8000,-0.4500,-0.4500
29.8333,-0.4500,-0.4500
